date_time,open,high,low,close,volume
2017-01-02 10:35:39.293,1.0517,1.05234,1.05086,1.05112,3436401000.0
2017-01-02 11:19:56.955,1.05112,1.05151,1.0476299999999998,1.04821,3741754000.0
2017-01-02 12:03:19.169,1.04821,1.0489,1.048,1.04851,5006073000.0
2017-01-02 12:44:09.052,1.04851,1.0489,1.04798,1.04831,4701328000.0
2017-01-02 14:27:20.703,1.04831,1.04837,1.047,1.047,3597374000.0
2017-01-02 15:42:51.902,1.047,1.04745,1.04608,1.04659,3182168000.0
2017-01-02 16:52:40.223,1.04659,1.04742,1.04638,1.04737,4163279000.0
2017-01-02 17:25:24.556,1.04737,1.04756,1.04634,1.0467799999999998,6460872000.0
2017-01-02 20:02:41.197,1.0467799999999998,1.04774,1.04539,1.0466,4998963000.0
2017-01-02 21:00:26.099,1.0466,1.0467,1.04595,1.046,5431378000.0
2017-01-02 22:26:07.406,1.046,1.04642,1.04501,1.04572,5500601000.0
2017-01-02 23:48:23.900,1.04572,1.046,1.0448,1.04526,5695668000.0
2017-01-03 01:11:31.488,1.04526,1.0470700000000002,1.04516,1.04562,4809694000.0
2017-01-03 01:57:40.280,1.04562,1.04631,1.04556,1.04572,5789503000.0
2017-01-03 03:01:24.477,1.04572,1.04708,1.04569,1.0469,5814399000.0
2017-01-03 04:14:18.204,1.0469,1.04803,1.0466799999999998,1.04757,5260933000.0
2017-01-03 06:03:53.929,1.04757,1.04855,1.04704,1.04844,5107528000.0
2017-01-03 08:15:40.870,1.04844,1.04898,1.04807,1.04839,5356462000.0
2017-01-03 09:22:48.972,1.04839,1.04886,1.0458,1.04643,5749867000.0
2017-01-03 10:11:08.860,1.04643,1.04662,1.04531,1.04645,4741789000.0
2017-01-03 10:46:08.524,1.04645,1.04645,1.04201,1.04357,4464470000.0
2017-01-03 11:22:49.047,1.04357,1.04435,1.04161,1.04238,4403015000.0
2017-01-03 12:02:07.859,1.04238,1.04276,1.03958,1.0398,4771129000.0
2017-01-03 12:54:15.434,1.0398,1.04161,1.03955,1.04034,4570424000.0
2017-01-03 13:35:54.611,1.04034,1.04041,1.03813,1.0388,4933430000.0
2017-01-03 14:26:06.157,1.0388,1.03941,1.03809,1.03849,4613999000.0
2017-01-03 15:05:25.439,1.03849,1.03912,1.03747,1.0382,4664352000.0
2017-01-03 15:58:15.035,1.0382,1.03911,1.03815,1.03911,4613545000.0
2017-01-03 16:45:33.131,1.03911,1.03977,1.03844,1.03962,4675026000.0
2017-01-03 17:11:09.768,1.03962,1.04076,1.03546,1.0355,4802875000.0
2017-01-03 17:34:54.097,1.0355,1.03664,1.03399,1.03627,5031267000.0
2017-01-03 18:01:58.538,1.03627,1.03879,1.03626,1.0385799999999998,4309680000.0
2017-01-03 18:28:08.172,1.0385799999999998,1.04168,1.03781,1.04168,4512995000.0
2017-01-03 18:54:33.878,1.04168,1.04336,1.04096,1.04125,4632464000.0
2017-01-03 19:58:18.890,1.04125,1.0427,1.04096,1.04265,5229263000.0
2017-01-03 21:13:41.077,1.04265,1.04314,1.04082,1.041,4924238000.0
2017-01-03 22:45:15.815,1.041,1.04168,1.04039,1.04118,5121877000.0
